Station Name,Lines Served,Valid for Colours,Borough
Sutter Av,L,Black,Brooklyn
Sutter Av-Rutland Rd,3,Red (Stripe),Brooklyn
Times Sq-42 St,"1, 2, 3, 7, N, Q, R, S, W","Purple (Solid), Purple (Stripe), Red (Solid), Red (Stripe), Wildcard, Yellow (Solid), Yellow (Stripe)",Manhattan
Tompkinsville,SIR,Wildcard,Staten Island
Tottenville,SIR,Wildcard,Staten Island
Tremont Av,"B, D",Orange (Solid),Bronx
Union St,R,Yellow (Stripe),Brooklyn
Utica Av,"A, C","Blue (Solid), Blue (Stripe)",Brooklyn
Van Cortlandt Park-242 St,1,Red (Solid),Bronx
Van Siclen Av,"3, C, J, Z","Blue (Stripe), Brown (Solid), Brown (Stripe), Red (Stripe)",Brooklyn
Vernon Blvd-Jackson Av,7,"Purple (Solid), Purple (Stripe)",Queens
W 4 St-Wash Sq,"A, B, C, D, E, F, M","Blue (Solid), Blue (Stripe), Orange (Solid), Orange (Stripe)",Manhattan
W 8 St-NY Aquarium,"F, Q","Orange (Stripe), Yellow (Solid)",Brooklyn
WTC Cortlandt,1,Red (Solid),Manhattan
Wakefield-241 St,2,Red (Solid),Bronx
Wall St,"2, 3, 4, 5","Green (Solid), Green (Stripe), Red (Solid), Red (Stripe)",Manhattan
West Farms Sq-E Tremont Av,"2, 5","Green (Stripe), Red (Solid)",Bronx
Westchester Sq-E Tremont Av,6,Green (Stripe),Bronx
Whitehall St-South Ferry,"R, W",Yellow (Stripe),Manhattan
Whitlock Av,6,Green (Stripe),Bronx
Wilson Av,L,Black,Brooklyn
Winthrop St,"2, 5","Green (Stripe), Red (Solid)",Brooklyn
Woodhaven Blvd,"J, M, R, Z","Brown (Solid), Brown (Stripe), Orange (Stripe), Yellow (Stripe)",Queens
Woodlawn,4,Green (Solid),Bronx
World Trade Center,E,Blue (Stripe),Manhattan
York St,F,Orange (Stripe),Brooklyn
Zerega Av,6,Green (Stripe),Bronx
